country,city,publishedAtDate,stars,text,language,store,service,product,return,brand,price,online,general
Austria,Himmelreich,27-05-2024,5,"Ich bin sicherlich 1-2 mal im Jahr vor Ort , diesmal aber war ich gleich nochmal extra begeistert, an der Kasse wies mich die nette Mitarbeiterin auf einen einzulösenden Gutschein hin, und ich bekam , da mein Boss shop in ibk Anfang des  Jahres umgebaut wurde, mein Geburtstagsgeschenk dort ausgehändigt, einfach herrlich kompetent.
Und nicht zu vergessen, meine shopping Highlights Hemd , Shirt und Gürtel waren ein gutes Schnäppchen . Solche Mitarbeiter sollten gut Behandelt werden",de,,Positive,Positive,,,Positive,,
Austria,Himmelreich,27-04-2024,5,Variety of choice. Lots of special offers,en,,,Positive,,,Positive,,Positive
Austria,Himmelreich,25-03-2024,1,Weird…unhelpful staff.,de,,Negative,,,,,,
Austria,Himmelreich,9/3/2024,1,"Vorsicht: Die Qualität ist, trotz des teilweise unverschämten Preises, das allerletzte.

Habe 4 Kleidungsstücke gekauft, alle nach ca. 10mal tragen kaputt. Hose gerissen, beim pullover gehen die Nähte auf. Rücknahme Fehlanzeige,  da wir die Kleidungsstücke nicht wie angegeben in der chemischen Reinigung, sondern von Hand gewaschen haben.

Die Qualität ist leider ca. 10€ Import aus China. Nie wieder.",de,,,Negative,,,Negative,,
Austria,Himmelreich,11/7/2023,1,"Nachdem die negativen Erfahrungen in der Hugo Boss Outlet Filiale Salzburg überwiegen, muss hierzu auch eine Bewertung geschrieben werden.
Leider kann man keine Null Sterne vergeben, denn selbst ein Stern - ist ein Stern zu viel. Die traurige Krönung letztes Wochenende.
Gekauft wurden am Freitag kurz vor Ladenschluss 2 Männer T-Shirts in einer Verpackung. Mein Mann war sich bzgl. der Gr. nicht sicher und fragte an der Kassa ob ein Umtausch bzw. Rückgabe im Falle möglich ist. Die Dame versicherte doppelt, dass es absolut kein Problem sei (mit Rechnung, innerhalb von 14 Tagen) die T-Shirts umzutauschen. Soweit so gut..
Am Samstag dann das Highlight..

Die T-Shirts haben leider nicht gepasst, somit sind wir erneut in den Store (mit Rechnung, Original Verpackung und innerhalb der 14 Tage Umtauschfrist) ..
An der Kassa angekommen, traf ich die erste unfreundliche Kollegin an. Grüßen - ein Fremdwort! Als ich mein Anliegen äußerte, kam lediglich ein „aha“ zurück und sie verließ die Kassa - wohl um eine Kollegin aufzusuchen.
Kurze Zeit später, kam eine weitere Kollegin, aus Datenschutzgründen ;) keine Namen (ältere Dame, großer Statur, mit Brille, Braune Haare etwa Schulterlänge)..

Ebenso - Grüßen = Fremdwort!!
Die Dame sieht mich abwertend an und fragt mich „was wollen Sie“?!?
Ich erkläre mein Anliegen und lege die Rechnung hin. Daraufhin, werde ich aggressiv angefahren, das Unterwäsche (plötzlich war es Unterwäsche) nicht umgetauscht wird.
Ich versuchte der UNFREUNDLICHEN „Beraterin“ zu erklären, dass wir am Vortag extra gefragt haben ob ein Umtausch möglich ist.
„Dann haben Sie eben eine falsche Information erhalten, das sagt mir doch mein gesundet Menschenverstand das !!!! getragene Unterwäsche !!!! nicht umgetauscht werden kann…Bitte????!!!!
NULL Gebrauchsspuren - wie und warum auch, passen ja nicht und wurden im Original Zustand retourniert!!!
Um die Bewertung nicht noch weiter in die Länge zu ziehen und um auf den Punkt zu kommen..
Ein derartiges Benehmen einem Kunden ggü. ist ABSOLUT das alllller letzte!
„Boss - Like“ ????!!!!

An die Dame die diese Bewertung hoffentlich liest, oder an die zuständige Führungskraft - mein vorhandener gesunder Menschenverstand sagt mir - dass Sie keine Bildung bzw. Ausbildung genossen haben und nicht Kundenorientiert geschult wurden und Sie Ihren Job überdenken sollten - Sie sind eine Zumutung!!",de,,Negative,,Negative,,,,
Austria,Himmelreich,15-05-2023,1,"Personal ist vermutlich nur zum ""ratschen"" eingestellt worden... es wird gelacht, getratscht und die Kundschaft perfekt ignoriert!  Mitarbeiter waren am Freitag (wie immer wenn man in dem Laden ist) mehr als genervt wenn man etwas fragte, man wurde links liegen gelassen und der Kunde fühlt sich hier als lästiger Bittsteller; wie man es nur wagen kann das Personal zu ""belästigen""... Zum Glück gibt es im Outletcenter auch andere Stores mit engagiertem und freundlichem Personal!",de,Negative,Negative,,,,,,
Austria,Himmelreich,15-04-2023,1,"Kann mich meinen Vorrednern nur anschließen. Ich habe noch nie so unfreundliche Mitarbeiter erlebt. Besonders unfreundlich war der Mann mit Brille, der zusätzlich etwas gegen Kinder im Laden zu haben scheint.",de,,Negative,,,,,,
Austria,Himmelreich,6/4/2023,5,"Immer gut sortiert, für Outlet Store super freundliche und kompetente Beratung. Preise vollkommen in Ordnung. Immer wieder gerne bei BOSS",de,Positive,Positive,,,Positive,Positive,,
Austria,Himmelreich,27-03-2023,1,"Leider zu gestresstes Peraonal.
Mitarbeiter mit Schwung und frischem Wind  fehlen hier!
Mittlerweile einer der schlechteren Läden im Haus.",de,,Negative,,,,,,
Austria,Himmelreich,5/2/2023,5,Sehr angenehme Beratung,de,,Positive,,,,,,
Austria,Himmelreich,23-01-2023,5,Отличный магазин с хорошим персоналом и приятными ценами. Советую посетить,ru,Positive,Positive,,,,Positive,,
Austria,Himmelreich,7/1/2023,1,"30 Minuten vor Geschäftsschluss wird nicht mehr bedient, eine ältere Mitarbeiterin beklagt für jedermann deutlich wahrnehmbar bei ihrer Kollegin, dass sie eigentlich gerne aufräumen würde. Also Selbstbedienung.
Wir haben dann die Marke gewechselt und wurden andernorts noch 10 Minuten vor Schluss perfekt beraten. Dieser Standort ist die perfekte Werbung für den Mitbewerb.
Einzig der Security-Mitarbeiter war freundlich und hat uns begrüßt und verabschiedet.",de,,Negative,,,Negative,,,
Austria,Himmelreich,24-12-2022,5,Dobar izbor i ok cijene,hr,,,,,,Neutral,,Positive
Austria,Himmelreich,23-09-2022,1,Selten so eine Frechheit erlebt. Man wird widerwillig bedient auf einmal verschwindet die Verkäuferin und legt neben einem Hemd zusammen. Eine grenzenlose Frechheit,de,,Negative,,,,,,
Austria,Himmelreich,21-09-2022,5,Super Beratung,id,,Positive,,,,,,
Austria,Himmelreich,16-08-2022,1,"RACIST STAFF I am an Indian tourist and I was waiting in line to be served and I was shocked the staff woman - a white lady took 2 white people in before me who just jumped into the line and when she was clearly seeing me waiting before them - when I complained she pretended not to speak English but I heard her speaking plenty of English with other white people. This kind of outright racism only exists in Austria and I would never go back and spend my money there horrible what these people do to demean foreigners and behave in this manner especially when it's us foreign tourists who spend the most in their stores. I have never experienced this in UK France belgium etc...that employee should be fired for behaving like this , shameless person.",en,,Negative,,,,,,
Austria,Himmelreich,11/8/2022,1,"Filialleiterin verbreitet sehr schlechte Energie.
Ehrlich unverschämt!",de,,Negative,,,,,,
Austria,Himmelreich,4/8/2022,1,"Kann mich nur der vorherrschenden Meinung hier anschließen, unfreundliches Personal dass null Interesse an Beratung und Verkauf hat. Man fühlt sich hier als würde man nur bei der ""Arbeit"" stören..",de,,Negative,,,,,,
Austria,Himmelreich,11/2/2022,4,"Für ein Outlet Store recht groß mit einem umfangreichen Sortiment, leider keine aktive Beratung.",de,,Negative,,,,Negative,,
Austria,Himmelreich,23-05-2021,1,"Leider sind nicht nur einige Produkte zweite Wahl, dies scheint auch bei einigen Angestellten der Fall zu sein.

Nach guter und freundlicher Beratung durch das Verkaufspersonal hat es die unfreundliche und überforderte Kassiererin geschafft, dass ich zum ersten Mal alles was ich kaufen wollte auf den Tresen gelegt und den Laden verlassen habe.

Ich bleibe der Marke treu aber dieses Geschäft werde ich zukünftig nicht mehr besuchen.",de,,Neutral,Positive,,Neutral,,,
Austria,Himmelreich,18-04-2021,5,Top Beratung,id,,,,,,,,Positive
Austria,Himmelreich,4/4/2021,3,"Leider kann ich hier nur 3 Sterne geben, Preis und Auswahl haben hier eindeutig 5 Sterne verdient!
2 Sterne muss ich leider abziehen für die teilweise frechen Bemerkungen der Verkäufer, weiteres fühlt man sich hier nicht wie ein Kunde der bei Boss einkauft, sondern eher wie ein unwillkommener Kunde eines kostengünstigeren Kleidungsgeschäft!
Würde mir hier eindeutig mehr Freundlichkeit wünschen!",de,,Negative,,,Positive,Positive,Positive,
Austria,Himmelreich,26-08-2020,1,"- Sehr unfreundliches Personal
- Kundenzufriedenheit wird klein geschrieben
- gleiche Produkte auf Amazon um einiges günstiger
- keine ""Outlet"" Preise, sondern gleich teuer wie im official store",de,,Negative,,,,Negative,,
Austria,Himmelreich,22-08-2020,4,Sehr schöne Anzüge und zuvorkommende Beratung!,de,,Positive,Positive,,,,,
Austria,Himmelreich,5/2/2020,5,Tolles Outlett in Österreich,de,Positive,,,,,,,
Austria,Himmelreich,8/8/2019,4,Gut eingekauft 💰‼️😲🥂,de,,,,,,,,Positive
Austria,Himmelreich,17-07-2019,5,Классно но дорого,ru,,,,,,Negative,,Positive
Austria,Himmelreich,14-07-2019,2,Für ein Outlet viel zu teuer - Nein danke!,de,,,,,,Negative,,
Austria,Himmelreich,27-06-2019,5,"Tolle freundliche Beratung ! hab schon zum 2 Mal einen Anzug dort gekauft, und war beide male mit der Beratung sehr zufrieden. Auch die Qualität ist bei Hugo Boss Spitze. Ich werde sowohl Polo-Shirts, Anzüge und Hemden weiterhin dort kaufen.",de,,Positive,Positive,,Positive,,,
Austria,Himmelreich,29-04-2019,5,Mantel gesucht und hier zum vernünftigen Preis gefunden,de,,,Positive,,,Positive,,
Austria,Himmelreich,22-02-2019,5,Boss Hugo Boss,en,,,,,Positive,,,Positive
Austria,Himmelreich,4/2/2019,5,Top Beratung.,id,,,,,Positive,,,
Austria,Himmelreich,30-01-2019,5,"Do Outlet Centra v Salzburgu nás z Českého Krumlova nalákal poslední outlet firmy X-bionic. Samozřejmě jsme skončili i v jiných obchodech, jedním z nich byl Hugo Boss. Mile se nás ujal pán a vydržel s námi, dokud jsme nezaplatili :)",cs,,Positive,,,,,,
Austria,Himmelreich,6/1/2019,5,Top Auswahl und zuvorkommender Service und Beratung. Preis Leistung stimmen hier voll und ganz,de,,Positive,Positive,,,Positive,,
Austria,Himmelreich,26-12-2018,3,저렴합니다.,ko,,,,,,Positive,,
Austria,Himmelreich,19-12-2018,1,"Günstige Preise, aber sehr unverschämte und aufdringliche Verkäuferinnen.",de,,Negative,,,,Positive,,
Austria,Himmelreich,12/12/2018,1,"Wenn man als Kunde einen Laden betritt und vom Verkäufer von oben bis unten abwertend gemustert wird, braucht man sich nicht wundern, wenn man den Laden gleich wieder verlässt. Service, Beratung und Einkaufserlebnis entsprechend negativ.",de,,Negative,,,,,,Negative
Austria,Himmelreich,6/12/2018,5,Sehr nett und günstig,de,,,,,,Positive,,
Austria,Himmelreich,7/9/2018,5,Neben vielen anderen Designern im Outlett Center Schnäppchen verdächtig,de,,,,,,Positive,,
Austria,Himmelreich,6/8/2018,5,ممتازة,ar,,,,,,,,Positive
Austria,Himmelreich,16-07-2018,4,Sehr gute Auswahl und sehr kompetentes Personal!!!,de,,Positive,Positive,,,,,
Austria,Himmelreich,29-06-2018,4,Gute Auswahl,de,,,Positive,,,,,
Austria,Himmelreich,3/6/2018,4,"Sehr freundliches Personal, kompetente Beratung.
Komme wieder :)

Einziges Manko:
Man bekommt keinen Kleidersack, wenn man einen Anzug kauft. Erst ab 2. (aber dann bräuchte man auch wieder 2 und nicht nur 1)
Selbst der käufliche Erwerb ist nicht möglich.",de,,Positive,,,,,,
Austria,Himmelreich,12/1/2018,2,"Leider echt enttäuschend. Ich hab Boss zwar sehr gern, aber die Präsentation ist wirklich nicht würdig. Wie die Fotos zeigen war das ganze Geschäft nicht gereinigt. In der Umkleide steht man im dicken Staub. Sehr schade...",de,Negative,,,,Neutral,,,
Austria,Himmelreich,1/7/2017,3,خصومات جيده لكن اغلب المقاسات غير متوفره,ar,,,Negative,,,Positive,,
Austria,Himmelreich,11/7/2016,5,Gute Auswahl zu guten Preisen!,de,,,Positive,,,Positive,,
Austria,Innsbruck,10/6/2024,5,Sehr gute und professionelle Beratung durch den Mitarbeiter Asha! Danke,de,,Positive,,,,,,
Austria,Innsbruck,1/6/2024,5,"Sehr ausführliche nette Beratung, danke schön!",de,,Positive,,,,,,
Austria,Innsbruck,27-04-2024,5,Wie immer sehr angenehmes Einkaufen. Extrem freundliches Personal,de,,Positive,,,,,,Positive
Austria,Innsbruck,28-01-2024,5,兩次到訪遇到兩位不同店員都非常親切👍👍🏽,ko,,Positive,,,,,,
Austria,Innsbruck,5/11/2023,5,"""Ein erinnerungswürdiger Einkaufserlebnis""
Bewertung: ⭐⭐⭐⭐⭐

Wir hatten das Vergnügen, den Chef während unseres Urlaubs kennenzulernen - eine Begegnung, die den Grundstein für eine bleibende Beziehung legte. Bei unserem ersten Besuch im Hugo Boss Store in Innsbruck, hauptsächlich um Hallo zu sagen und uns umzuschauen, wurden wir mit offenen Armen empfangen und erhielten eine hervorragende Beratung.

Was uns besonders beeindruckt hat, ist die Menschlichkeit, die in diesem Store zu spüren ist. Im Vergleich zu anderen Stores in Österreich und in anderen Ländern, wo man oft das Gefühl hat, nur zu stören und kaum begrüßt wird, bietet der Hugo Boss Store in Innsbruck eine erfrischend herzliche und einladende Atmosphäre.

Wir schätzen diese persönliche Note sehr und machen jetzt immer einen Punkt daraus, diesen speziellen Store zu besuchen, wenn wir in der Stadt sind. Ein großes Lob an das Team von Hugo Boss Innsbruck für ihren außergewöhnlichen Kundenservice!",de,Positive,Positive,,,Positive,,,Positive
Austria,Innsbruck,26-10-2023,5,"Schönes Geschäft,  gute Qualität!",de,Positive,,Positive,,,,,
Austria,Innsbruck,10/8/2023,1,"Habe online eine Uhr von der Marke Boss gekauft… diese wurde leider innerhalb eines Jahres kaputt. In der Hoffnung dass ich im Geschäft Hilfe mit dem Einschicken zur Reparatur bekomme, habe ich diese Filiale in Innsbruck aufgesucht. Die Verkäuferin war leider sehr inkompetent bzw. hatte nicht wirklich Lust mir weiterzuhelfen. Sie telefonierte kurz hatte mir dann aber nur erklärt, dass ich mich an den HERSTELLER wenden soll?!?! Ich habe sie darauf gebeten für mich einen Kontakt herzustellen, worauf sie mich nicht mehr beachtete und den Herrn hinter mir bediente.",de,,Negative,Negative,,,,,
Austria,Innsbruck,27-05-2023,5,Service sehr zuvorkommend und kompetent.,de,,Positive,,,,,,
Austria,Innsbruck,5/4/2023,5,I called them when they were in Construction and they still gave me good service via Phone 10/10,en,,Positive,,,,,,
Austria,Innsbruck,5/1/2023,5,In pieno centro storico di Innsbruck,it,Positive,,,,,,,
Austria,Innsbruck,31-08-2022,5,Die Angestellten sind höflich und hilfsbereit. Die Preise sind vernünftig und man hat die Qual der Wahl. Wurde freundlich bedient und beraten. Werde wiedermal zum shoppen kommen. Gruss an die Michi für die Hilfe und Beratung. MfG da Michi,de,,Positive,Positive,,,Positive,,Positive
Austria,Innsbruck,19-08-2022,5,חנות פרמיום שרות מעולה,he,Positive,Positive,,,,,,
Austria,Innsbruck,29-07-2022,5,Top!!!!,en,,,,,,,,Positive
Austria,Innsbruck,11/7/2022,5,ماركه قوية مسجله,ar,,,,,Positive,,,
Austria,Innsbruck,29-03-2022,5,"Danke für die tolle Beratung, ich komme bestimmt wieder!",de,,Positive,,,,,,
Austria,Innsbruck,10/3/2022,4,👍,,,,,,,,,Positive
Austria,Innsbruck,13-02-2022,5,Top Beratung,id,,Positive,,,,,,
Austria,Innsbruck,28-01-2022,1,"ATTENTION! If you are an American tourist and only got a US vaccine card, they won’t let you in. Went there today, and the sales assistant asked me for the QR code of my Green Pass (thats the app the locals use here). Since i only had my US vaccine pass, i had no QR code, so he didn’t let me in. I asked him why not as everywhere else, but he said that’s internal policy. Guess they are not eager to make business with tourists.

The funny thing is, that at the sports store next door everything was as usual, since the US vaccine card has been accepted everywhere so far.",en,Negative,,,,,,,Negative
Austria,Innsbruck,23-12-2021,5,Nobel wie immer!,de,,,,,,,,Positive
Austria,Innsbruck,18-12-2021,4,ร้านอยู่ตรงข้าม Bank shop ใหญ่,th,Positive,,,,,,,
Austria,Innsbruck,3/10/2021,5,Sehr freundlich. Gute Beratung,de,,Positive,,,,,,
Austria,Innsbruck,30-07-2021,4,"Schöner Shop, sehr freundliche Mitarbeiter die gut beraten. Für uns war leider jedoch nichts dabei. Für einen stilvollen Auftritt findet man bestimmt was.",de,Positive,Positive,Positive,,,,,
Austria,Innsbruck,15-07-2021,1,"Leider kann ich nicht viel positives berichten. Entweder hatten wir nur Pech mit der Verkäuferin oder es zieht sich doch durch? Auswahl ist ja zu genüge vorhanden, jedoch passte mir keiner der Anzüge richtig und trotzdem wollte man mir einen verkaufen. Noch dazu kam, dass beim Kleid meiner Frau - welches wir dann gekauft haben - der Gürtel nicht gepasst hat. Der nächst Größere (der perfekt gepasst hätte) wurde uns dann nicht mitgegeben, weil das nicht ginge (da hätten wir das schlechter sitzende größere Kleid kaufen sollen). Es wurde zwar nach einer Lösung gesucht, jedoch erst nachdem wir zigfach nachgefragt hatten. Nachlass gab es dann auch keinen, obwohl wir einen Gürtel nachträglich anfertigen lassen mussten. Ich hab kein Problem damit mehr Geld für tolle Kleidung auszugeben, jedoch erwarte ich mir dann schon gewisse Flexibilität und den Willen eine Lösung zu finden. Das kam leider überhaupt nicht rüber. Kleid wurde nur gekauft, weil es meiner Frau einfach traumhaft gepasst hat. War für mich aber der letzte Besuch. Fink's oder Einwaller haben sich da deutlich klüger angestellt in der Vergangenheit.",de,,,Negative,,,Negative,,Negative
Austria,Innsbruck,26-06-2021,5,Volle 5 Sterne. Tolle Beratung!,de,,Positive,,,,,,
Austria,Innsbruck,1/6/2021,5,"Sehr nette und freundliche Verkäufer. Gute Beratung,ohne Stress und Druck.",de,,Positive,,,,,,
